match_id,date,hero_id,won,team,duration_minutes,game_mode,kills,deaths,assists,kda,level,gold_per_min,xp_per_min,net_worth,last_hits,denies,hero_damage,tower_damage,hero_healing,lane_efficiency,teamfight_participation,item_0,item_1,item_2,item_3,item_4,item_5,hero_name
8409978030,2025-08-10 02:07,53,False,Radiant,68.5,22,18,7,23,5.86,30,883,1190,44745,796,27,73792,3855,1125,0.0,0.0,Black King Bar,Monkey King Bar,Bloodthorn,Scythe of Vyse,Silver Edge,Power Treads,Nature's Prophet
8407596861,2025-08-08 14:57,7,True,Dire,39.0,22,9,2,20,14.5,21,495,633,18630,197,2,26817,880,0,0.0,0.0,Black King Bar,Arcane Boots,Blink Dagger,Lotus Orb,Aghanim's Scepter,,Earthshaker
8407074105,2025-08-08 03:04,7,True,Dire,44.6,22,16,5,21,7.4,27,654,1092,25693,269,9,50211,977,0,0.0,0.0,Black King Bar,Arcane Boots,Blink Dagger,Refresher Orb,,Yasha and Kaya,Earthshaker
8407024884,2025-08-08 02:25,70,False,Radiant,34.6,22,5,4,11,4.0,21,531,745,15546,261,26,22078,1530,0,0.0,0.0,Magic Wand,Battle Fury,Blink Dagger,Phase Boots,Javelin,Skull Basher,Ursa
8406208476,2025-08-07 15:30,11,False,Dire,49.2,22,8,13,21,2.23,26,554,814,21181,317,20,40477,1021,0,0.0,0.0,Black King Bar,Power Treads,Mask of Madness,Daedalus,Hurricane Pike,Shadow Blade,Shadow Fiend
8406166207,2025-08-07 14:32,2,True,Dire,49.8,22,12,6,17,4.83,24,524,683,24693,220,4,30022,239,0,0.0,0.0,Blade Mail,Crimson Guard,Overwhelming Blink,Black King Bar,Tranquil Boots,Aghanim's Scepter,Axe
8404117432,2025-08-06 02:23,7,False,Dire,45.2,22,13,9,17,3.33,26,602,939,25466,304,9,48330,202,0,0.0,0.0,Black King Bar,Arcane Boots,Blink Dagger,Aghanim's Scepter,Octarine Core,Yasha and Kaya,Earthshaker
8404061402,2025-08-06 01:36,7,True,Radiant,42.5,22,7,9,31,4.22,24,561,753,23186,224,10,42458,1062,0,0.0,0.0,Aghanim's Scepter,Arcane Boots,Blink Dagger,Octarine Core,Yasha and Kaya,,Earthshaker
8404001246,2025-08-06 00:46,15,False,Dire,43.9,22,18,9,6,2.67,23,504,681,17394,211,31,58160,2406,0,0.0,0.0,Black King Bar,Talisman of Evasion,Morbid Mask,Falcon Blade,Sange and Yasha,Power Treads,Razor
8402790490,2025-08-05 02:09,5,False,Dire,35.8,22,2,11,17,1.73,15,324,367,9044,64,5,16439,0,0,0.0,0.0,Magic Wand,Tranquil Boots,Blink Dagger,Glimmer Cape,Staff of Wizardry,Ogre Axe,Crystal Maiden
8402717078,2025-08-05 01:09,54,False,Radiant,53.9,22,11,14,10,1.5,27,501,912,21798,315,6,28190,0,1346,0.0,0.0,Satanic,Sange and Yasha,Abyssal Blade,Phase Boots,Armlet of Mordiggian,Mithril Hammer,Lifestealer
8401476600,2025-08-04 02:24,15,True,Dire,51.4,22,24,10,23,4.7,29,682,1132,30997,267,9,86394,12554,0,0.0,0.0,Black King Bar,Refresher Orb,Blink Dagger,Satanic,Sange and Yasha,Power Treads,Razor
8401415855,2025-08-04 01:35,13,True,Radiant,41.7,22,6,6,30,6.0,25,522,850,20484,195,11,33446,2152,0,0.0,0.0,Parasma,Aghanim's Scepter,Blink Dagger,Eul's Scepter of Divinity,Bottle,Power Treads,Puck
8401357922,2025-08-04 00:50,7,True,Dire,38.5,22,14,6,18,5.33,24,620,875,20394,211,8,39026,4396,0,0.0,0.0,Black King Bar,Magic Wand,Blink Dagger,Refresher Orb,Aghanim's Scepter,Power Treads,Earthshaker
8400026411,2025-08-03 03:00,62,True,Dire,54.2,22,11,4,21,8.0,26,645,799,33461,243,15,41056,1791,0,0.0,0.0,Black King Bar,Khanda,Swift Blink,Dagon,Phase Boots,Linken's Sphere,Bounty Hunter
8399963023,2025-08-03 02:08,27,True,Radiant,39.2,22,10,8,20,3.75,20,402,561,12895,64,6,28665,2291,0,0.0,0.0,Magic Wand,Aghanim's Scepter,Blink Dagger,Arcane Boots,Tiara of Selemene,,Shadow Shaman
8397865961,2025-08-01 17:09,71,True,Radiant,44.4,22,2,11,34,3.27,23,401,673,16133,107,6,24034,235,0,0.0,0.0,Drum of Endurance,Black King Bar,Blade Mail,Phase Boots,,Shadow Blade,Spirit Breaker
8397711727,2025-08-01 13:28,15,True,Dire,46.4,22,23,9,16,4.33,24,629,676,22978,300,15,64227,9565,0,0.0,0.0,Black King Bar,Maelstrom,Satanic,Power Treads,Sange and Yasha,Falcon Blade,Razor
8397683456,2025-08-01 12:39,119,False,Radiant,38.9,22,3,9,11,1.56,18,330,461,10818,125,14,26538,492,0,0.0,0.0,Arcane Boots,Aghanim's Scepter,Magic Wand,Eul's Scepter of Divinity,Javelin,Bottle,Dark Willow
8396540460,2025-07-31 16:33,75,False,Dire,40.6,22,1,13,13,1.08,16,243,352,7789,40,5,16265,407,0,0.0,0.0,Arcane Boots,Mantle of Intelligence,Ogre Axe,Force Staff,Circlet,Staff of Wizardry,Silencer
8395507724,2025-07-30 21:00,100,True,Dire,88.2,22,7,13,19,2.0,29,432,720,29130,281,14,37410,2494,0,0.0,0.0,Arcane Boots,Silver Edge,Blink Dagger,Eul's Scepter of Divinity,Ghost Scepter,Desolator,Tusk
8395437261,2025-07-30 20:07,104,False,Dire,48.6,22,8,13,23,2.38,22,421,573,15764,141,10,42909,228,1929,0.0,0.0,Blade Mail,Magic Wand,Blink Dagger,Black King Bar,Phase Boots,Shadow Blade,Legion Commander
8393883356,2025-07-29 16:17,40,False,Radiant,50.8,22,6,17,24,1.76,22,402,538,13162,127,2,55264,3122,240,0.0,0.0,Veil of Discord,Magic Wand,Blink Dagger,Force Staff,Spirit Vessel,Power Treads,Venomancer
8393292601,2025-07-29 02:41,100,False,Dire,55.0,22,9,6,28,6.17,26,441,707,22499,171,19,35097,940,0,0.0,0.0,Shadow Blade,Desolator,Overwhelming Blink,Phase Boots,Magic Wand,Aghanim's Scepter,Tusk
8393239142,2025-07-29 01:57,73,True,Radiant,34.4,22,5,7,17,3.14,19,611,599,17315,196,12,26284,7292,0,0.0,0.0,Black King Bar,Soul Ring,Blink Dagger,Phase Boots,Radiance,Yasha,Alchemist
8391800899,2025-07-28 00:46,71,False,Dire,35.2,22,7,7,17,3.43,17,299,490,9365,51,2,13824,0,0,0.0,0.0,Drum of Endurance,Magic Wand,Shadow Blade,Phase Boots,Mithril Hammer,Sentry Ward,Spirit Breaker
8391726214,2025-07-27 23:53,93,False,Radiant,47.2,22,1,10,4,0.5,22,392,589,16294,284,23,10570,137,0,0.0,0.0,Black King Bar,Aghanim's Scepter,Magic Wand,Diffusal Blade,Shadow Blade,Power Treads,Slark
8391535629,2025-07-27 21:51,1,False,Radiant,49.2,22,16,8,15,3.88,29,775,1158,33494,426,14,47005,7590,0,0.0,0.0,Power Treads,Battle Fury,Abyssal Blade,Manta Style,Butterfly,Linken's Sphere,Anti-Mage
8390367897,2025-07-27 01:59,31,False,Radiant,63.1,22,9,13,31,3.08,27,396,736,18116,127,11,37331,1190,0,0.0,0.0,Tiara of Selemene,Tranquil Boots,Blink Dagger,Glimmer Cape,Force Staff,Aghanim's Scepter,Lich
8388185059,2025-07-25 15:13,119,False,Radiant,45.1,22,9,8,10,2.38,22,388,608,12897,137,33,22762,573,0,0.0,0.0,Bottle,Arcane Boots,Blink Dagger,Eul's Scepter of Divinity,Magic Wand,Kaya,Dark Willow
8388049012,2025-07-25 11:20,61,False,Radiant,52.4,22,5,5,14,3.8,27,525,870,23004,359,16,25047,1623,0,0.0,0.0,Black King Bar,Power Treads,Soul Ring,Bloodthorn,Magic Stick,Assault Cuirass,Broodmother
8388009663,2025-07-25 10:11,119,False,Dire,27.6,22,1,7,6,1.0,12,266,322,2529,66,5,13165,31,0,0.0,0.0,,,,,,,Dark Willow
8387963897,2025-07-25 08:42,119,True,Radiant,36.7,22,13,3,27,13.33,22,490,742,16437,106,16,36621,2945,0,0.0,0.0,Arcane Boots,Bottle,Blink Dagger,Eul's Scepter of Divinity,Mystic Staff,Aghanim's Scepter,Dark Willow
8387940496,2025-07-25 07:56,99,False,Radiant,41.1,22,6,8,13,2.38,20,440,558,14774,194,11,19810,304,0,0.0,0.0,Blade Mail,Ring of Tarrasque,Crimson Guard,Eternal Shroud,Power Treads,Cloak,Bristleback
8368948948,2025-07-10 22:14,90,False,Dire,34.3,22,3,6,18,3.5,18,350,514,10879,102,1,17401,231,1515,0.0,0.0,Tranquil Boots,Magic Wand,Dagon,Force Staff,Glimmer Cape,Point Booster,Keeper of the Light
8368867391,2025-07-10 21:15,35,False,Radiant,53.4,22,14,9,9,2.56,27,601,838,29084,383,32,61518,1135,0,0.0,0.0,Black King Bar,Power Treads,Monkey King Bar,Hurricane Pike,Mjollnir,Morbid Mask,Sniper
8366925468,2025-07-09 04:43,90,True,Radiant,63.7,22,3,7,31,4.86,28,483,832,28555,271,1,45020,525,7021,0.0,0.0,Boots of Bearing,Aghanim's Scepter,Dagon,Force Staff,Glimmer Cape,Ghost Scepter,Keeper of the Light
8366561356,2025-07-08 23:21,64,True,Radiant,55.3,22,9,8,29,4.75,27,511,890,25995,191,10,32933,2631,0,0.0,0.0,Aghanim's Scepter,Arcane Boots,Rod of Atos,Eul's Scepter of Divinity,Glimmer Cape,Kaya and Sange,Jakiro
8366315917,2025-07-08 20:23,72,True,Radiant,45.9,22,11,9,21,3.56,26,639,839,27144,345,19,33450,5119,0,0.0,0.0,Mask of Madness,Linken's Sphere,Black King Bar,Phase Boots,Hurricane Pike,Magic Wand,Gyrocopter
8366254782,2025-07-08 19:28,65,False,Radiant,47.3,22,9,4,18,6.75,21,348,549,14896,74,2,25740,28,0,0.0,0.0,Black King Bar,Platemail,Blink Dagger,Force Staff,Eul's Scepter of Divinity,Tranquil Boots,Batrider
8366223448,2025-07-08 18:55,79,False,Dire,27.1,22,4,8,1,0.62,14,306,449,6948,79,5,14750,0,0,0.0,0.0,Ogre Axe,Arcane Boots,Magic Wand,Force Staff,Staff of Wizardry,,Shadow Demon
8364273034,2025-07-07 02:44,74,False,Dire,55.2,22,11,10,22,3.3,25,462,650,21368,190,13,35468,4188,0,0.0,0.0,Black King Bar,Magic Wand,Scythe of Vyse,Orchid Malevolence,Boots of Travel,Aghanim's Scepter,Invoker
8364214273,2025-07-07 01:56,8,True,Radiant,43.0,22,16,5,27,8.6,27,690,1012,23820,295,18,52412,11094,4394,0.0,0.0,Aghanim's Scepter,Magic Wand,Swift Blink,Phase Boots,Manta Style,Mjollnir,Juggernaut
8364147871,2025-07-07 01:02,40,False,Dire,43.3,22,5,7,13,2.57,20,387,535,15299,223,4,29881,861,887,0.0,0.0,Veil of Discord,Magic Wand,Spirit Vessel,Lotus Orb,Aghanim's Scepter,Power Treads,Venomancer
8360155571,2025-07-04 04:03,136,False,Dire,58.3,22,16,10,24,4.0,28,508,926,23139,239,15,44531,2513,920,0.0,0.0,Black King Bar,Aghanim's Scepter,Blink Dagger,Phase Boots,Abyssal Blade,Reaver,Marci
8359557660,2025-07-03 19:53,88,True,Radiant,60.5,22,9,10,17,2.6,25,348,617,16134,67,3,30982,970,549,0.0,0.0,Arcane Boots,Magic Wand,Urn of Shadows,Dagon,Eul's Scepter of Divinity,,Nyx Assassin
8359507279,2025-07-03 19:03,61,False,Radiant,39.1,22,14,4,7,5.25,26,630,1019,23759,308,9,33175,1953,0,0.0,0.0,Black King Bar,Hyperstone,Abyssal Blade,Bloodthorn,Power Treads,,Broodmother
8359463719,2025-07-03 18:15,76,True,Radiant,39.9,22,7,2,13,10.0,24,523,810,20148,181,23,19948,4273,0,0.0,0.0,Black King Bar,Magic Wand,Blink Dagger,Force Staff,Aghanim's Scepter,Power Treads,Outworld Destroyer
8358402440,2025-07-02 21:08,119,True,Radiant,57.1,22,9,7,32,5.86,29,554,1039,25759,271,17,49088,4911,0,0.0,0.0,Arcane Boots,Aghanim's Scepter,Silver Edge,Force Staff,Eul's Scepter of Divinity,Moon Shard,Dark Willow
8358353540,2025-07-02 20:30,135,False,Dire,29.4,22,2,8,12,1.75,14,365,371,9549,108,3,19422,0,1347,0.0,0.0,Blade Mail,Soul Ring,Magic Wand,Phase Boots,Bracer,Ogre Axe,Dawnbreaker
8358305978,2025-07-02 19:48,25,False,Dire,36.2,22,8,8,15,2.88,18,314,526,9032,37,2,19715,330,0,0.0,0.0,Arcane Boots,Null Talisman,Ogre Axe,Magic Wand,Dagon,Staff of Wizardry,Lina
8358256413,2025-07-02 18:58,26,True,Dire,39.7,22,8,12,17,2.08,22,351,716,12201,49,1,18467,498,0,0.0,0.0,Magic Wand,Tranquil Boots,Blink Dagger,Dagon,,,Lion
8358222923,2025-07-02 18:21,86,False,Dire,31.7,22,1,14,12,0.93,12,264,294,6604,59,2,17886,0,0,0.0,0.0,Arcane Boots,Void Stone,Blink Dagger,Magic Wand,Staff of Wizardry,Wind Lace,Rubick
8358169340,2025-07-02 17:14,2,True,Radiant,43.6,22,10,11,12,2.0,21,443,587,18097,135,11,30263,566,0,0.0,0.0,Blade Mail,Reaver,Blink Dagger,Phase Boots,Black King Bar,Ring of Health,Axe
8358036214,2025-07-02 13:55,86,True,Dire,58.9,22,9,14,31,2.86,28,488,949,23608,196,3,58687,2259,0,0.0,0.0,Arcane Boots,Black King Bar,Blink Dagger,Wind Waker,Aghanim's Scepter,Magic Wand,Rubick
8356299109,2025-07-01 02:28,16,True,Dire,54.0,22,3,12,32,2.92,25,451,668,19879,195,7,31250,1560,0,0.4618027485852869,0.6363636,Black King Bar,Arcane Boots,Blink Dagger,Eul's Scepter of Divinity,Shiva's Guard,Ogre Axe,Sand King
8356254919,2025-07-01 01:50,61,False,Dire,32.6,22,3,3,5,2.67,19,415,610,11998,154,7,9677,0,0,0.4521018593371059,0.46666667,Black King Bar,Magic Stick,Soul Ring,Orchid Malevolence,Power Treads,Javelin,Broodmother
8356184721,2025-07-01 00:52,61,False,Dire,51.2,22,8,8,11,2.38,26,549,811,23671,366,6,29469,2716,0,0.0,0.0,Black King Bar,Power Treads,Soul Ring,Bloodthorn,Desolator,Assault Cuirass,Broodmother
8355811009,2025-06-30 20:18,61,True,Radiant,42.0,22,14,4,11,6.25,26,663,1009,25272,311,7,27050,9161,0,0.0,0.0,Black King Bar,Desolator,Soul Ring,Bloodthorn,Power Treads,Assault Cuirass,Broodmother
8355738528,2025-06-30 19:12,86,False,Radiant,60.2,22,14,10,23,3.7,27,503,721,25457,244,4,51844,1866,5651,0.0,0.0,Arcane Boots,Octarine Core,Blink Dagger,Wind Waker,Lotus Orb,Aghanim's Scepter,Rubick
8355644485,2025-06-30 17:27,7,False,Dire,35.0,22,0,2,6,3.0,10,145,186,1593,16,6,3555,0,0,0.0,0.0,,Arcane Boots,,Sentry Ward,,,Earthshaker
8355606820,2025-06-30 16:39,74,True,Radiant,42.0,22,6,4,15,5.25,19,352,493,14233,88,1,21239,670,0,0.0,0.0,Aghanim's Scepter,Magic Wand,Spirit Vessel,Null Talisman,Arcane Boots,Soul Booster,Invoker
8355568742,2025-06-30 15:46,119,False,Dire,47.3,22,6,10,12,1.8,23,374,610,14188,122,17,29427,220,0,0.0,0.0,Aghanim's Scepter,Kaya,Magic Wand,Eul's Scepter of Divinity,Arcane Boots,Hyperstone,Dark Willow
8355522619,2025-06-30 14:34,39,False,Dire,43.9,22,14,8,14,3.5,24,516,782,20700,166,13,50091,828,0,0.0,0.0,Blade Mail,Black King Bar,Veil of Discord,Bloodthorn,Power Treads,Magic Wand,Queen of Pain
8355493570,2025-06-30 13:44,119,False,Radiant,38.9,22,7,13,15,1.69,17,349,416,10701,109,9,20000,571,0,0.0,0.0,Aghanim's Scepter,Arcane Boots,Magic Wand,Eul's Scepter of Divinity,,,Dark Willow
8355018386,2025-06-30 02:38,119,True,Dire,42.5,22,12,8,21,4.12,26,564,968,22570,228,15,37937,5254,0,0.0,0.0,Arcane Boots,Aghanim's Scepter,Blink Dagger,Eul's Scepter of Divinity,Force Staff,Moon Shard,Dark Willow
8354966208,2025-06-30 01:56,7,False,Dire,36.7,22,10,12,15,2.08,19,412,552,13283,102,8,30351,243,0,0.0,0.0,Arcane Boots,Ogre Axe,Blink Dagger,Black King Bar,Staff of Wizardry,Blade of Alacrity,Earthshaker
8353613172,2025-06-29 03:52,37,True,Radiant,46.4,22,6,8,12,2.25,20,380,508,16520,141,4,19651,4456,6748,0.0,0.0,Magic Wand,Aghanim's Scepter,Cornucopia,Arcane Boots,Glimmer Cape,Ghost Scepter,Warlock
8352158076,2025-06-28 03:12,85,True,Dire,36.7,22,3,6,24,4.5,19,463,535,14760,158,13,15721,1709,2974,0.0,0.0,Blade Mail,Arcane Boots,Magic Wand,Lotus Orb,Boots of Speed,Tiara of Selemene,Undying
8350877709,2025-06-27 03:18,70,True,Radiant,32.0,22,14,1,11,25.0,20,619,709,19510,241,12,20790,2686,0,0.0,0.0,Battle Fury,,Swift Blink,Phase Boots,Abyssal Blade,,Ursa
8350826129,2025-06-27 02:34,84,False,Radiant,36.4,22,3,8,7,1.25,18,403,492,12654,148,7,21202,0,0,0.0,0.0,Heart of Tarrasque,Hand of Midas,Blink Dagger,Phase Boots,Soul Ring,,Ogre Magi
8350541861,2025-06-26 22:50,2,True,Radiant,30.4,22,21,5,19,8.0,20,628,749,15828,120,9,28848,2572,0,0.0,0.0,Blade Mail,Magic Wand,Blink Dagger,Phase Boots,Black King Bar,Vanguard,Axe
8350486323,2025-06-26 22:11,97,False,Dire,30.1,22,2,6,5,1.17,12,283,307,7949,80,6,5789,0,0,0.0,0.0,Power Treads,Ogre Axe,Blink Dagger,Magic Wand,Bracer,Mithril Hammer,Magnus
8349494537,2025-06-26 01:30,104,True,Dire,47.9,22,15,11,21,3.27,27,535,928,21642,207,11,52908,4244,1800,0.0,0.0,Blade Mail,Magic Wand,Blink Dagger,Phase Boots,Black King Bar,Aghanim's Scepter,Legion Commander
8349418169,2025-06-26 00:27,2,True,Dire,51.9,22,23,11,20,3.91,28,632,1005,25939,278,11,71819,939,0,0.0,0.0,Blade Mail,Black King Bar,Overwhelming Blink,Phase Boots,Aghanim's Scepter,Heart of Tarrasque,Axe
8349224922,2025-06-25 22:05,81,False,Radiant,64.2,22,8,15,12,1.33,26,436,629,21530,352,25,28810,1803,0,0.0,0.0,Black King Bar,Power Treads,Blink Dagger,Harpoon,Manta Style,,Chaos Knight
8349152394,2025-06-25 21:13,93,False,Dire,36.4,22,0,6,3,0.5,15,334,379,10406,198,8,5464,0,0,0.0,0.0,Black King Bar,Magic Wand,Wraith Band,Power Treads,Diffusal Blade,Ogre Axe,Slark
